categoría,nombre del plato,descripción,precio,URL de imagen
Entradas,CAUSA DE PULPO AL OLIVO,"Preparada a base de papa amarilla, ají amarillo, limón, aceite vegetal y pulpo.",S/ 30.00,https://raw.githubusercontent.com/username/repo/main/public/causa_pulpo_olivo.webp
Entradas,CAUSA DE LANGOSTINOS,"Preparados con deliciosos langostinos flameados, masa de papa amarilla sazonada con crema de ají amarillo y limón.",S/ 35.00,https://raw.githubusercontent.com/username/repo/main/public/causa_langostinos.webp
Entradas,CAUSA ACEVICHADA,"Fina selección de papas, bañados en salsa cevichera.",S/ 35.00,https://raw.githubusercontent.com/username/repo/main/public/causa_acevichada.webp
Entradas,TEQUEÑOS CLÁSICOS,Deliciosos tequeños rellenos de puro queso.,S/ 16.00,https://raw.githubusercontent.com/username/repo/main/public/tequenos_clasicos.webp
Entradas,LECHE DE TIGRE,"Cortes de pescado con nuestra preparación de base especial, acompañado de cebolla en juliana, camote glaseado y choclo.",S/ 20.00,https://raw.githubusercontent.com/username/repo/main/public/leche_tigre.webp
Entradas,CAUSA DE ATÚN,"Elaborada a base de papa amarilla, ají amarillo, limón, sal al gusto, atún.",S/ 25.00,https://raw.githubusercontent.com/username/repo/main/public/causa_atun.webp
Cevichazos,CEVICHE DE PESCADO,"Pescado del día, acompañado de camote glaseado y choclo.",S/ 35.00,https://raw.githubusercontent.com/username/repo/main/public/ceviche_pescado.webp
Cevichazos,CEVICHE ALESUS,"Preparado con pescado fresco, espinaca, cilantro, nuestra base especial, ají limo, choclo y camote glaseado.",S/ 38.00,https://raw.githubusercontent.com/username/repo/main/public/ceviche_alesus.webp
Cevichazos,CEVICHE DE CONCHAS NEGRAS,"Exquisitas conchas negras, con nuestra preparación de base especial, acompañada de camote glaseado y choclo.",S/ 40.00,https://raw.githubusercontent.com/username/repo/main/public/ceviche_conchas_negras.webp
Cevichazos,CEVICHE DE PULPO,"Exquisitos trozos de Pulpo, cebolla picada, jugo de limón y cilantro.",S/ 38.00,https://raw.githubusercontent.com/username/repo/main/public/ceviche_pulpo.webp
Tiraditos,Al natural,Láminas de pescado bañadas en suave crema de limón.,S/ 35.00,
Tiraditos,Al ají amarillo,Láminas de pescado bañadas en suave crema de ají amarillo.,S/ 38.00,
Tiraditos,Al rocoto,Láminas de pescado bañadas en suave crema de rocoto.,S/ 38.00,
Tiraditos,Bicolor,Láminas de pescado bañadas en crema de ají amarillo y rocoto.,S/ 38.00,
Tiraditos,Tres sabores,"Láminas de pescado bañadas en crema de ají amarillo, rocoto y crema de olivo.",S/ 40.00,
Chicharrones y Jaleas,Chicharrón de Pescado,"Crujientes trozos de pescado, yucas fritas y salsa criolla.",S/ 35.00,https://raw.githubusercontent.com/username/repo/main/public/chicharron_pescado.webp
